,,,,,,
,,Kauf,Verkauf,Gewinn,,
,,,,,,
,,"27.693,88 €","40.389,00 €","12.695,12 €",,
,,,,,,
,,,,,,
Deuter Futura Air Trek 45 + 10 SL,,"80,00 €","80,00 €","0,00 €",,
SOTO WindMaster,,"66,99 €",,,,
Kindle Paperwhite,,"85,00 €",,,,
Lowe Alpine Escape Trek ND 50:60L,,"80,00 €","110,00 €","30,00 €",,
Asics Sonoma 6 ,,"42,00 €",,,,
Leaf Shave ,,"60,00 €",,,,
Buff Merino,,"16,00 €",,,,
Afnan Turathi Blue Homme,,"23,40 €",,,,
Helsport Fonnfjell Superlight 2 tent,,"450,00 €",,,,
Helsport Fonnfjell Superlight 2 footprint,,"52,00 €",,,,
Therm-a-Rest Universal Couple Kit - Mattenverbinder,,"17,00 €",,,,
REAPP Bremsscheibenschloss Motorrad Schloss,,"32,00 €",,,,
G4Free Ultraleicht Klappstühle,,"34,00 €",,,,
Therm-a-Rest Cinch Komprimierbares Kissen,,"34,00 €",,,,
Adilette Aqua,,"19,00 €",,,,
UGREEN Nexode 65W USB C Ladegerät,,"40,00 €",,,,
Fujifilm X100S,,"300,00 €","450,00 €","150,00 €",,
,,,,,,
August 2023,,,,,,
,,,,,,
Ricoh GR II,,"150,00 €","450,00 €","300,00 €",,
Casio CDP 130 piano,,"100,00 €","200,00 €","100,00 €",,
GoPro Hero 10 Black,,"160,00 €","260,00 €","100,00 €",,
Insta 360 X2 camera,,"170,00 €","250,00 €","80,00 €",,
Canon 90D + 18 -135mm lens,,"350,00 €","650,00 €","300,00 €",,
Numark NV ii,,"150,00 €","300,00 €","150,00 €",,
Pioneer DDJ400,,"100,00 €","200,00 €","100,00 €",,
Venu 2,,"0,00 €","150,00 €","150,00 €",,
Scanwatch,,75,,"-75,00 €",,
DJI Mavic Mini 2,,"200,00 €",,"-200,00 €",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"1.455,00 €","2.460,00 €","1.005,00 €",,
,,,,,,
,,,,,,
,,,,,,
Dezember 2023,,,,,,
,,,,,,
Sony A6000 set,,"650,00 €","250,00 €",,,
Sony 18-105 F4,,,"300,00 €",,,
Sony 55-210mm ,,,"100,00 €",,,
Sony 50mm,,,"120,00 €",,,
Sigma 30mm,,,"200,00 €",,,
,,,,,,
Kona Rove DL 52,,"350,00 €",,,,
,,,,,,
,,,,,,
,,,"320,00 €",,,
,,,,,,
,,,,,,
,,,,,,
Herbst 2024,,,,,,
,,,,,,
